SKU;SEGUIMENTO;Categoria;TIPO;Fornecedor;Descrição / Aplicação;"Código Do 
Fornecedor";" CMV 
Unitário ";"Altura
(cm)";"Comprimento
(cm)";"Largura
(cm)";Peso
2210;AUTOMOTIVO;Haste Câmbio;SIMPLES;LT CORREA;Haste Bieleta Do Câmbio Peugeot 206 207  1.4 .16 161mm Curta;; R$ 8,90 ;;;;
2211;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Haste  Bieleta Câmbio 206 207 1.4 / 1.6 Longo 34cm;; R$ 10,90 ;;;;
2212;AUTOMOTIVO;Haste Câmbio;SIMPLES;LT CORREA;TIRANTE EXTERNO DO CÂMBIO CURTO PEUGEOT 206 1.0;;;;;;
2213;AUTOMOTIVO;Haste Câmbio;SIMPLES;LT CORREA;TIRANTE EXTERNO DO CÂMBIO LONGO PEUGEOT 206 1.0;;;;;;
2214;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Haste Curta Trambulador Peugeot 306;; R$ 8,90 ;;;;
2215;AUTOMOTIVO;Haste Câmbio;SIMPLES;LT CORREA;TIRANTE EXTERNO DO CÂMBIO LONGO PEUGEOT 306;;;;;;
2219;AUTOMOTIVO;Haste Câmbio;SIMPLES;LT CORREA;KIT TIRANTE DO CÂMBIO UNIVERSAL PEUGEOT;;;;;;
2252;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;ALAVANCA SELETORA DO TRAMBULADOR PEUGEOT 206 1.0;;;;;;
2278;AUTOMOTIVO;Bucha Eixo Suspensão;SIMPLES;LT CORREA;Bucha Eixo Tras Elimina Folga 47mm Peugeot 206 1999 A 2010;; R$ 15,50 ;;;;
2279;AUTOMOTIVO;Bucha Eixo Suspensão;KIT;HOLYMAN;Par De Buchas Eixo Traseiro Elimina Folga 47mm 206 1999 2010;; R$ 31,00 ;;;;
2280;AUTOMOTIVO;Bucha Eixo Suspensão;SIMPLES;LT CORREA;Bucha Eixo Traseiro Elimina Folga Pegeout 206 207 50mm;; R$ 15,50 ;;;;
2281;AUTOMOTIVO;Bucha Eixo Suspensão;KIT;LT CORREA;PAR Bucha Elimina Folga Do Eixo Tras 50mm Passion 2012 A 2015;; R$ 31,00 ;;;;
2302;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Kit Reparo Trambulador Cambio Astra Com Liame 1993 A 2006;; R$ 4,90 ;;;;
2309;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Suporte Da Alavanca De Seleção Do Trambulador Corsa Celta;; R$ 13,80 ;;;;
2312;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Reparo Bucha Cabo Marcha Zafira A Partir De 2006 Até 2012;; R$ 11,53 ;;;;
2314;AUTOMOTIVO;Haste Câmbio;SIMPLES;LT CORREA;Reparo Alavanca Cambio Corsa Classic Celta 2005/2014;; R$ 10,90 ;;;;
2316;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Kit Reparo Alavanca Câmbio Trambulador Vectra 2006 Até 2011;; R$ 31,50 ;;;;
2324;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Bucha Trambulador Corsa Todos De 94 Até 2012;; R$ 4,90 ;;;;
2325;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Bucha Reparo Alavanca Trambulador Astra 1993 A 2006;; R$ 3,90 ;;;;
2327;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Kit Reparo Bucha Alavanca Câmbio Varão Corsa;; R$ 19,00 ;;;;
2345;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Pino Regulagem Da Ponta Do Cabo De Marcha Corsa Celta Vectra;; R$ 8,00 ;;;;
2353;AUTOMOTIVO;Suporte Câmbio;SIMPLES;LT CORREA;Suporte Traseiro Do Motor Câmbio Manual Astra 2004;; R$ 38,76 ;;;;
2357;AUTOMOTIVO;Suporte Radiador;SIMPLES;LT CORREA;Suporte Coxin Radiador Esquerdo Corsa Frente Montana 2002/12;; R$ 38,00 ;;;;
2358;AUTOMOTIVO;Suporte Radiador;SIMPLES;LT CORREA;Suporte Coxin Radiador Direito Montana Antiga 2002 A 2012;; R$ 21,42 ;;;;
2360;AUTOMOTIVO;Suporte Radiador;SIMPLES;LT CORREA;Suporte Radiador Lado Motorista - Corsa Sedan 1.6 - 1999;; R$ 31,90 ;;;;
2361;AUTOMOTIVO;Suporte Parachoque;SIMPLES;LT CORREA;Corsa Sedan Class. Super 1.6 2004 A 2006;; R$ 31,90 ;;;;
2362;AUTOMOTIVO;Suporte Radiador;SIMPLES;LT CORREA;Suporte Sup. Radiador Celta 2009 Le Ld;; R$ 36,90 ;;;;
2367;AUTOMOTIVO;Suporte Radiador;SIMPLES;LT CORREA;Suporte Do Radiador Vectra Cd 2.2 16v 2000;; R$ 29,90 ;;;;
2374;AUTOMOTIVO;Suporte Radiador;SIMPLES;LT CORREA;Kit Suporte Coxim Superior Do Radiador Cobalt 2012 Em Diante;;;;;;
2375;AUTOMOTIVO;Suporte Radiador;SIMPLES;LT CORREA;Kit Suporte Coxim Superior Do Radiador Tracker 2021 a 2023;;;;;;
3002;AUTOMOTIVO;Cupula alavanca;SIMPLES;HOLYMAN;Kit Cúpula Alavanca Do Cambio 6 Marchas Siena 1999 A 2000;; R$ -   ;;;;
3003;AUTOMOTIVO;Caixa Rótula;SIMPLES;HOLYMAN;Caixa Rótula Alavanca Câmbio Santana Até 2005;; R$ 7,50 ;;;;
3025;AUTOMOTIVO;Suporte Parachoque;SIMPLES;HOLYMAN;Suporte Do Para Choque Fusca;; R$ 1,34 ;;;;
3037;AUTOMOTIVO;Caixa Rótula;SIMPLES;HOLYMAN;Caixa Rótula Alavanca Câmbio Gol G1 G2 G3;; R$ 8,00 ;;;;
4001;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa Pedal Acelerador Freio Embreagem Voyage Saveiro Gol;; R$ 2,80 ;;;;
4002;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Spacefox 2012 A 2015;; R$ 3,70 ;;;;
4003;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Acelerador Fiorino 1981 A 2016;; R$ -   ;;;;
4004;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa Pedal Acelerador Freio Embreagem Corsa 1994 Até 2015;; R$ 2,55 ;;;;
4005;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Acelerador Passat G1 74 A 78;; R$ -   ;;;;
4006;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Kit Capa Pedal Freio Embreagem Kombi 1976 Em Diante;; R$ 2,55 ;;;;
4007;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Acelerador Marajó 81 A 86;; R$ -   ;;;;
4008;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Acelerador Chevette 1973 A 80;; R$ -   ;;;;
4009;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Del Rey;; R$ -   ;;;;
4013;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem F-250;; R$ -   ;;;;
4014;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;;;;;;;
4015;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio E Embreagem C10 C20 C40;; R$ 2,55 ;;;;
4016;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Acelerador Vectra 1997 A 2005;; R$ -   ;;;;
4017;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa Pedal Acelerador Freio Embregaem Fusca Variant Brasilia;; R$ 5,61 ;;;;
4018;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Acelerador Fusca Até 1975;; R$ -   ;;;;
4019;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;;;;;;;
4020;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa Pedal Freio Embreagem Variant Até 1975;; R$ 2,55 ;;;;
4021;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;CAPA DE PEDAL FREIO EMBREAGEM XSARA PICASSO 2001 A 2012;;;;;;
4022;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Iveco Daily 1997 A 2012;; R$ -   ;;;;
4023;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Sprinter 310 312 412 311 313;; R$ -   ;;;;
4024;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Sandero 2012 A 2014;; R$ -   ;;;;
4025;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Peugeot 206;; R$ -   ;;;;
4027;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Acelerador Verona;; R$ -   ;;;;
4030;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;;;;;;;
4031;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio E Embreagem Meriva;; R$ 3,25 ;;;;
4032;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Idea 1996 A 2010;; R$ -   ;;;;
4034;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem E Acelerador Astra Sport;; R$ 6,48 ;;;;
4036;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;KIT CP HONDA CIVIC 1996 ATÉ 2005;;;;;;
4037;AUTOMOTIVO;;SIMPLES;;;;;;;;
4038;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Tempra 1992 A 1999;; R$ -   ;;;;
4041;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa Pedal Hyundai Hr E H100 Kia Bongo K2500 K2700 K2799 ;; R$ 4,55 ;;;;
4042;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Polo 2008;; R$ -   ;;;;
4043;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Kit Capa De Pedal Vw Voyage 2008 A 2021;; R$ 3,28 ;;;;
4044;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa Pedal Acelerador Freio Embreagem Santana 1984 A 1991;; R$ 5,36 ;;;;
4045;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Mercedes 709 1978 A 2018;; R$ -   ;;;;
4046;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa Pedal Freio Automatico Honda Fit City Hrv Hr-v Todos;;;;;;
4048;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Automatico Civic 2000 Em Diante;; R$ -   ;;;;
4049;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;CAPA DE PEDAL FREIO AUTOMÁTICO AUDI 1990 A 2010;;;;;;
4050;AUTOMOTIVO;Capa pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Automatico Etios 2016 A 2021;; R$ -   ;;;;
4051;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Scania T113;; R$ -   ;;;;
4052;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem F12000;; R$ -   ;;;;
4053;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Acelerador Nl10;; R$ -   ;;;;
4054;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Micro Ônibus Vw;; R$ -   ;;;;
4055;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Volare;; R$ -   ;;;;
4056;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Mercedes 180 D;; R$ -   ;;;;
4057;AUTOMOTIVO;Pastilha Freio;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Bravo 2011 Em Diante;; R$ -   ;;;;
4058;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio E Embreagem Citroen C3;; R$ 6,78 ;;;;
4059;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;CAPA DE PEDAL FREIO EMBREAGEM HILUX 2005 A 2015;;;;;;
4061;AUTOMOTIVO;;;;;;;;;;
4062;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Nova S10 2012 A 2020;; R$ -   ;;;;
4063;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa Pedal Freio Embreagem Gm Spin 2012 Em Diante;; R$ 5,32 ;;;;
4064;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa Pedal Acelerador Freio Embreagem Opala Todos;; R$ 12,00 ;;;;
4066;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Stilo;; R$ -   ;;;;
4068;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;CAPA DE PEDAL FREIO EMBREAGEM EFFA;;;;;;
4069;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;CAPA DE PEDAL FREIO AUTOMÁTICO PEUGEOT 306;;;;;;
4071;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Master 2014 A 2021;; R$ -   ;;;;
4072;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;CAPA DE PEDAL FREIO AUTOMÁTICO LOGAN ATÉ 2014;;;;;;
4073;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio E Embreagem Renault Kwid;; R$ 6,00 ;;;;
4076;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa Pedal Embreagem Freio Renault Logan 2007 Até 2011;; R$ 5,54 ;;;;
4077;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Logan 2014 A 2022;; R$ -   ;;;;
4078;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Automático Ka 2014 A 2020;; R$ -   ;;;;
4079;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Kit Capa De Pedal New Fiesta;; R$ 6,80 ;;;;
4081;AUTOMOTIVO;Capa pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Automático Focus 2008 A 2016;; R$ -   ;;;;
4082;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Automático Azera 2008 A 2011;; R$ -   ;;;;
4083;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Automático Santa Fé 2010 A 2014;; R$ -   ;;;;
4084;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem L200 Hpe Sport 2003 A 2008;; R$ -   ;;;;
4085;AUTOMOTIVO;Pastilha Freio;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Versa 2010 A 2019;; R$ -   ;;;;
5000;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Logus Verona Escort Pointer 93 96;; R$ 15,12 ;;;;
5001;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Fiesta 1996 A 2002;; R$ 15,12 ;;;;
5005;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS OS LADOS F-250;; R$ -   ;;;;
5009;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Fiesta Ecosport;; R$ 15,12 ;;;;
5010;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Logus 1993 A 1996;; R$ 16,20 ;;;;
5014;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Ranger 1999 A 2011;; R$ 16,20 ;;;;
5015;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA TRASEIRA AMBOS OS LADOS ECOSPORT 4X4 2004 EM DIANTE;; R$ -   ;;;;
5018;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Traseira Ou Dianteira Focus 2008 A 2013 2 Geração;; R$ 12,96 ;;;;
5020;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Lado Direito Fusion 2006 A 2009;; R$ 18,90 ;;;;
5021;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Le Fusion 2006 A 2009;; R$ 18,90 ;;;;
5022;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA TRASEIRA AMBOS OS LADOS FUSION 2006 A 2009;; R$ -   ;;;;
5024;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Fusion 2009 A 2012;; R$ 12,96 ;;;;
5025;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Ambos Os Lados Transit 2009 A 2015;; R$ -   ;;;;
5031;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA DIREITA RANGER 2012 EM DIANTE;; R$ -   ;;;;
5032;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Esquerda Ranger 2012 Em Diante;; R$ -   ;;;;
5033;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira New Fiesta 2010 Em Diante;; R$ 16,50 ;;;;
5034;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Eixo Da Bandeja Corcel 1985 Em Diante;; R$ -   ;;;;
5035;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;EIXO DA BANDEJA CORCEL BELINA DEL REY PAMPA 1985 EM DIANTE;; R$ -   ;;;;
5036;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS OS LADOS CORCEL;; R$ -   ;;;;
5037;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS OS LADOS FOCUS 2014 EM DIANTE;; R$ -   ;;;;
5039;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS OS LADOS EDGE 2008 A 2014;; R$ -   ;;;;
5040;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS OS LADOS FUSION 2013 A 2020;; R$ -   ;;;;
5041;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Traseira Ambos Os Lados Fusion 2013 A 2020;; R$ -   ;;;;
5100;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS OS LADOS BRAVA 1999 A 2003;; R$ -   ;;;;
5101;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS OS LADOS COUPE 1995 A 1997 16V;; R$ -   ;;;;
5102;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA PALIO WEEKEND;; R$ -   ;;;;
5103;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Ambos Os Lados Jumper 1994 À 2017;; R$ 15,12 ;;;;
5107;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA TRASEIRA AMBOS LADOS DOBLO TODAS EXCETO CARGO;; R$ -   ;;;;
5108;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Le Idea 2006 Strada 2009 Em Diante;; R$ 15,12 ;;;;
5109;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteir Ld Idea Adventure 2005 A 2016;; R$ 15,12 ;;;;
5110;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Fiat Bravo 2011 Em Diante;; R$ 15,12 ;;;;
5113;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Mobi Uno Palio Fiorino Grand Siena;; R$ 15,50 ;;;;
5125;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Traseira Renegade 4x2 2015 Em Diante;; R$ 19,44 ;;;;
5126;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA TRASEIRA AMBOS OS LADOS JOURNEY 2012 A 2019;; R$ -   ;;;;
5127;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Strada 2020 2021 2022;; R$ 21,00 ;;;;
5200;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS LADOS OMEGA 1993 A 1998;; R$ -   ;;;;
5201;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Montana 2004 A 2010;; R$ 16,74 ;;;;
5202;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS LADOS ASTRA 1995 1996;; R$ -   ;;;;
5203;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Spin 2012 Em Diante;; R$ 16,69 ;;;;
5204;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS LADOS CHEVETTE 1973 A 1993;; R$ -   ;;;;
5205;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS LADOS OPALA 1969 A 1988;; R$ -   ;;;;
5206;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS LADOS OPALA 1988 a 1992;; R$ -   ;;;;
5207;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS LADOS MONZA 1982 A 1990;; R$ -   ;;;;
5208;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Bieleta Dianteira Ambos Lados Monza 1991 A 1997;; R$ -   ;;;;
5209;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS LADOS IPANEMA 1989 1990;; R$ -   ;;;;
5210;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS LADOS IPANEMA 1989 A 1998;; R$ -   ;;;;
5211;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Ambos Lados Blazer 1997 A 2011;; R$ 9,72 ;;;;
5214;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA TRASEIRA AMBOS LADOS CAPTIVA 2008 EM DIANTE;; R$ -   ;;;;
5216;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Ambos Os Lados S10 1995 A 2011;; R$ 14,04 ;;;;
5217;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS LADOS TRACKER 2001 A 2008;; R$ -   ;;;;
5227;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Direita Captiva 2008 A 2015;; R$ 17,25 ;;;;
5228;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Lado Esquerdo Captiva Tracker;; R$ 17,25 ;;;;
5229;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Cruze 2010 Em Diante;; R$ 17,50 ;;;;
5231;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Ld S10 Trailblazer 2012 Em Diante;; R$ 17,15 ;;;;
5232;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Esquerda S10 Trailblazer 2012 Em Diante;; R$ 17,25 ;;;;
5233;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Cobalt Onix Spin Sonic Malibu Le Ld;; R$ 16,74 ;;;;
5236;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Traseira Barra Estabilizadora Blazer 1996 Até 2011;; R$ 19,95 ;;;;
5237;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA LADO ESQUERDO CRUZE 2016 A 2020;; R$ -   ;;;;
5238;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA DIREITA CRUZE 2016 A 2020;; R$ -   ;;;;
5302;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Ambos Lados Santana 1985 A 2006;; R$ -   ;;;;
5303;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Ambos Lados Polo Classic 1996 A 2000;; R$ -   ;;;;
5304;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS LADOS GOLF GL GLX 1995 A 1998;; R$ -   ;;;;
5307;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Vw Spacefox E Spacecross Todas Versões;; R$ 15,50 ;;;;
5310;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS LADOS AUDI A3 1999 A 2003;; R$ -   ;;;;
5312;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Traseira Ambos Lados Jetta 2007 A 2018;; R$ -   ;;;;
5313;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Ambos Lados Audi A3 2003 A 2020;; R$ -   ;;;;
5318;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS LADOS AMAROK 2010 A 2022;; R$ -   ;;;;
5400;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA DIANTEIRA AMBOS LADOS CIVIC 1998 A 2000;; R$ -   ;;;;
5402;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Direita Honda Civic 2001 A 2006;; R$ 16,20 ;;;;
5403;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Esquerda Honda Civic 2001 A 2006;; R$ 16,20 ;;;;
5404;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Direita Honda Fit 2003 Até 2008 1.4 1.5;; R$ 15,50 ;;;;
5405;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Dianteira Equerdo Honda Fit 2003 Até 2008 1.4 1.5;; R$ 15,12 ;;;;
5406;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA TRASEIRA DIREITA CIVIC 2001 A 2005;; R$ -   ;;;;
5407;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;BIELETA TRASEIRA ESQUERDA CIVIC 2001 A 2005;; R$ -   ;;;;
